accountId,paraId,amount,block_num
13bhDb9hQ3gf7RBijp5asEmsWKFgPr7ctso2WrGWGtn7RzBS,2040,100000000000,10188649
14ihGJD1BgKfQYzwdFpoh2pJADpuU5nnrH4u3KXHPbRoVEKe,2040,50000000000,10188622
13TZJ3Sc5LeyeGGDMYyHwjFs71xGwaJckkTKegN7v3ERZACf,2040,50000000000,10188579
14j7KDYVrzqaDwGt6iufBsuMjcRuEnyKGpahqQpuuWoFVRxD,2040,50000000000,10188562
16CqwZWLDGwRZs2EhNvHQYQsD2hVEbEvjgG2dRyGbL5ryBtu,2040,50000000000,10188509
14pZfyYvZissZbz6Ln3cu5uib4mPeQzZiW2MfHWPCmBWrkkj,2040,200000000000,10188508
1688fhidtvrnk9RJh4tY9e7Hio6c5wuqnkdrThU61d1e7BKR,2040,1000000000000,10188494
16karGmJ7Na7BASTgREejejyynMEMxMRf1tFzTodZPVRqBdK,2040,360000000000,10188493
129qXvgaML38hM8mAiq8tfdTw4P9VLoZHCCRdn5VTYDkswHn,2040,1400000000000,10188448
14aWiTGLux2rTnkWHAR4VRvJJjLXk7xGhK6drixeC9ut3ogd,2040,65000000000,10188342
13gsAGP7RZsCGfPac5knmxvA4U7SQgeQ6FBL5gJNtvYQmPRb,2040,200000000000,10188331
13m4dJG1c22A8dZBp1B8jjWhkqb4wSJiw3hq4oGgHgAyesHS,2040,50000000000,10188299
13GxETk2ktdJzHCYpxfGNKqLhwJDTwgr6aZJf7SzUUkZzQ31,2040,310000000000,10188292
16ZiStShkJvdwY3Vf6tNFqnuKDyENwsvRo9BdvQb2uJTDK7k,2040,300000000000,10188263
13GU2JyadZrTJYiDuo3u3mtXPyy7v9xSZTQNitWark6NGPJt,2040,10000000000000,10188259
12zsehh4gzeZjPUULXMkwVZQWViQrkrfZGv2b7Tv8xm86MrU,2040,50000000000,10188169
12BmXJe5SYyzWEiN5Ub3N2Ce7yvVMSxNgYPYKdWY9ZGtKLn5,2040,100000000000,10188151
13wNbioJt44NKrcQ5ZUrshJqP7TKzQbzZt5nhkeL4joa3PAX,2040,5056545762400000,10188120
